[2026-08-13 18:04:33.836] [INFO] [App] RotinaRemote Client iniciando...
[2026-08-13 18:04:33.986] [INFO] [P2PListener] Listener TCP iniciado na porta 48270
[2026-08-13 18:04:33.994] [INFO] [LanDiscovery] Serviço de Descoberta LAN ativo na porta UDP 48271
[2026-08-13 18:04:34.864] [INFO] [SignalingClient] Conectado ao Servidor de Sinalização em wss://rotinaremote.onrender.com/ws
[2026-08-13 18:07:10.845] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:07:10.847] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:07:13.809] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:07:13.825] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:07:16.841] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:07:16.857] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:07:19.857] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:07:19.874] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:07:22.874] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:07:22.893] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:07:23.718] [ERROR] [MainViewModel] Erro ao conectar via TCP P2P
  Exception: TimeoutException - Tempo limite excedido ao tentar conectar a 192.168.1.77:48270.
  StackTrace:    at RotinaRemote.Client.ViewModels.MainViewModel.InitiateConnection() in C:\Users\alll\Documents\Rotinaremote\src\RotinaRemote.Client\ViewModels\MainViewModel.cs:line 403
[2026-08-13 18:07:25.893] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:07:25.910] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:07:28.911] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:07:28.926] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
